"","V1","Date","Cases_0_10","Cases_11_17","Cases_18_24","Cases_25_34","Cases_35_44","Cases_45_54","Cases_55_64","Cases_65","Cases_Unknown","Deaths_0_10","Deaths_11_17","Deaths_18_24","Deaths_25_34","Deaths_35_44","Deaths_45_54","Deaths_55_64","Deaths_65","Deaths_Unknown","Cases_0_17","Cases_25_44","Cases_45_64","Deaths_0_17","Deaths_25_44","Deaths_45_64","New_Cases_0_10","New_Cases_11_17","New_Cases_18_24","New_Cases_25_34","New_Cases_35_44","New_Cases_45_54","New_Cases_55_64","New_Cases_65","New_Deaths_0_10","New_Deaths_11_17","New_Deaths_18_24","New_Deaths_25_34","New_Deaths_35_44","New_Deaths_45_54","New_Deaths_55_64","New_Deaths_65","New_Cases_0_17","New_Cases_25_44","New_Cases_45_64","New_Deaths_0_17","New_Deaths_25_44","New_Deaths_45_64"
"1:42","1:41","2021-08-25",31192,38060,56381,73115,67972,61035,52675,60816,NA,NA,NA,12,64,159,368,922,5246,NA,NA,NA,NA,3,NA,NA,405,385,336,411,404,332,260,248,NA,NA,0,0,3,3,4,15,NA,NA,NA,0,NA,NA
"1:43","1:42","2021-08-24",30787,37675,56045,72704,67568,60703,52415,60568,NA,NA,NA,12,64,156,365,918,5231,NA,NA,NA,NA,3,NA,NA,501,345,192,281,287,239,202,176,NA,NA,0,0,0,4,16,25,NA,NA,NA,0,NA,NA
"1:44","1:43","2021-08-23",30286,37330,55853,72423,67281,60464,52213,60392,NA,NA,NA,12,64,156,361,902,5206,NA,NA,NA,NA,3,NA,NA,116,119,95,172,135,101,101,147,NA,NA,0,1,1,6,4,18,NA,NA,NA,0,NA,NA
"1:45","1:44","2021-08-22",30170,37211,55758,72251,67146,60363,52112,60245,NA,NA,NA,12,63,155,355,898,5188,NA,NA,NA,NA,3,NA,NA,52,179,170,219,198,147,131,133,NA,NA,0,2,1,2,7,17,NA,NA,NA,0,NA,NA
"1:46","1:45","2021-08-21",30118,37032,55588,72032,66948,60216,51981,60112,NA,NA,NA,12,61,154,353,891,5171,NA,NA,NA,NA,3,NA,NA,452,231,285,416,334,302,225,275,NA,NA,0,1,3,4,6,17,NA,NA,NA,0,NA,NA
"1:47","1:46","2021-08-20",29666,36801,55303,71616,66614,59914,51756,59837,NA,NA,NA,12,60,151,349,885,5154,NA,NA,NA,NA,3,NA,NA,147,262,327,440,376,312,275,268,NA,NA,0,3,2,3,8,17,NA,NA,NA,0,NA,NA
"1:48","1:47","2021-08-19",29519,36539,54976,71176,66238,59602,51481,59569,NA,NA,NA,12,57,149,346,877,5137,NA,NA,NA,NA,3,NA,NA,566,296,408,582,504,421,389,383,NA,NA,0,1,1,1,1,12,NA,NA,NA,0,NA,NA
"1:49","1:48","2021-08-18",28953,36243,54568,70594,65734,59181,51092,59186,NA,NA,NA,12,56,148,345,876,5125,NA,NA,NA,NA,3,NA,NA,339,309,336,443,410,314,289,245,NA,NA,0,2,1,1,8,14,NA,NA,NA,0,NA,NA
"1:50","1:49","2021-08-17",28614,35934,54232,70151,65324,58867,50803,58941,NA,NA,NA,12,54,147,344,868,5111,NA,NA,NA,NA,3,NA,NA,345,212,255,369,325,250,230,217,NA,NA,0,1,2,3,11,24,NA,NA,NA,0,NA,NA
"1:51","1:50","2021-08-16",28269,35722,53977,69782,64999,58617,50573,58724,NA,NA,NA,12,53,145,341,857,5087,NA,NA,NA,NA,3,NA,NA,114,65,92,146,126,113,108,92,NA,NA,0,1,3,5,6,16,NA,NA,NA,0,NA,NA
"1:52","1:51","2021-08-15",28155,35657,53885,69636,64873,58504,50465,58632,NA,NA,NA,12,52,142,336,851,5071,NA,NA,NA,NA,3,NA,NA,-2,135,217,339,272,222,168,166,NA,NA,0,1,2,8,4,7,NA,NA,NA,0,NA,NA
"1:53","1:52","2021-08-14",28157,35522,53668,69297,64601,58282,50297,58466,NA,NA,NA,12,51,140,328,847,5064,NA,NA,NA,NA,3,NA,NA,404,186,245,346,282,235,199,220,NA,NA,0,0,1,1,3,8,NA,NA,NA,0,NA,NA
"1:54","1:53","2021-08-13",27753,35336,53423,68951,64319,58047,50098,58246,NA,NA,NA,12,51,139,327,844,5056,NA,NA,NA,NA,3,NA,NA,205,269,399,558,491,406,338,357,NA,NA,0,0,2,4,6,24,NA,NA,NA,0,NA,NA
