"","county_nam","mydate","deaths","fhwa_numbe","fips","positive","negative","recoveries","total_tests","active_cases","pop_5yr_est_2018","confirmed_pos","probable_pos","confirmed_neg","probable_neg","confirmed_recov","probable_recov","confirmed_death","probable_death","confirmed_active","probable_active","pcr_test","antigen_test","pcr_pos_test","pcr_neg_test","antigen_pos_test","antigen_neg_test","total_pos_test","total_neg_test","New_Cases_Today","Recovered_Since_Yesterday","New_Deaths_Today","New_Tests_Dashboard","Cases_Population","Tested_Population","New_Cases_Today_10k_Pop","Active_Cases_10k_Pop","Pct_Positive_Cumulative","Pct_Positive_New_to_Dashboard","Closed","Pct_Deaths_vs_Recoveries","Pct_Recoveries_vs_Deaths","lab_prvt","lab_pub"
"6340","Garland",2020-07-11,0,0,0,0,0,0,0,0,0,320,0,8585,0,260,0,3,0,57,0,8905,0,0,0,0,0,0,0,9,4,0,208,0.325540703,9.059187369,0.305194409,5.798693768,3.593486805,4.326923077,263,1.140684411,98.85931559,0,0
"6341","Grant",2020-07-11,0,0,0,0,0,0,0,0,0,53,0,1387,0,42,0,0,0,11,0,1440,0,0,0,0,0,0,0,1,2,0,37,0.293044344,7.961959527,0,6.082052416,3.680555556,2.702702703,42,0,100,0,0
"6342","Greene",2020-07-11,0,0,0,0,0,0,0,0,0,147,0,4334,0,125,0,0,0,22,0,4481,0,0,0,0,0,0,0,2,5,0,54,0.329426529,10.04190664,1.568697757,4.93019295,3.280517742,3.703703704,125,0,100,0,0
"6343","Hempstead",2020-07-11,0,0,0,0,0,0,0,0,0,76,0,1824,0,56,0,1,0,19,0,1900,0,0,0,0,0,0,0,6,3,0,18,0.345172132,8.629303297,0.454173858,8.629303297,4,33.33333333,57,1.754385965,98.24561404,0,0
"6344","HotSpring",2020-07-11,0,0,0,0,0,0,0,0,0,1213,0,3990,0,438,0,1,0,774,0,5203,0,0,0,0,0,0,0,326,2,0,441,3.618735084,15.52207637,28.04295943,230.9069212,23.313473,73.92290249,439,0.227790433,99.77220957,0,0
"6345","Howard",2020-07-11,0,0,0,0,0,0,0,0,0,135,0,1606,0,102,0,1,0,32,0,1741,0,0,0,0,0,0,0,4,6,0,27,1.008290388,13.00321159,4.481290612,23.9002166,7.754164273,14.81481481,103,0.970873786,99.02912621,0,0
"6346","Independence",2020-07-11,0,0,0,0,0,0,0,0,0,71,0,3228,0,58,0,0,0,13,0,3299,0,0,0,0,0,0,0,5,0,0,46,0.190532417,8.853048519,1.341777587,3.488621726,2.152167323,10.86956522,58,0,100,0,0
"6347","Izard",2020-07-11,0,0,0,0,0,0,0,0,0,25,0,1056,0,21,0,1,0,3,0,1081,0,0,0,0,0,0,0,1,0,0,9,0.184379379,7.972564348,0,2.212552548,2.312673451,11.11111111,22,4.545454545,95.45454545,0,0
"6348","Jackson",2020-07-11,0,0,0,0,0,0,0,0,0,41,0,1344,0,27,0,0,0,14,0,1385,0,0,0,0,0,0,0,3,2,0,77,0.238026125,8.040638607,1.161103048,8.127721335,2.960288809,3.896103896,27,0,100,0,0
"6349","Jefferson",2020-07-11,0,0,0,0,0,0,0,0,0,850,0,7736,0,672,0,29,0,149,0,8586,0,0,0,0,0,0,0,19,8,1,271,1.206974895,12.19186641,3.407929115,21.15755992,9.899836944,7.011070111,701,4.136947218,95.86305278,0,0
