"","County","Date","Population","Cases_Population","New_Cases_Today_10k_Pop","Active_Cases_10k_Pop","Current_Infections","Positive","New_Cases_Today","Recovered","Recovered_Since_Yesterday","Total_Deaths","New_Deaths_Today","Closed","Pct_Deaths_vs_Recoveries","Pct_Recoveries_vs_Deaths","Hospitalized","Hosp_Change_from_Yesterday","Ever_Hospitalized","New_Admits","New_Discharges_Deaths","Pct_Hospitalized","Vent","Ever_on_a_Vent","New_on_Vent","Pct_Vent"
"71","Arkansas_all_counties",2020-07-08,3017804,0.836568577680989,2.43223217942583,18.374288058469,5545,25246,734,19396,671,305,4,19701,1.54814476422517,98.4518552357748,358,-11,1705,50,61,6.45626690712354,79,254,0,22.0670391061453
"72","Arkansas_all_counties",2020-07-07,3017804,0.812246255886731,0.858239965219743,18.1787816571255,5486,24512,259,18725,891,301,9,19026,1.58204562178072,98.4179543782193,369,32,1655,51,19,6.72621217644914,83,254,7,22.4932249322493
"73","Arkansas_all_counties",2020-07-06,3017804,0.803663856234533,1.45470017270837,20.3028427293489,6127,24253,439,17834,701,292,5,18126,1.61094560300121,98.3890543969988,337,12,1604,29,17,5.50024481801861,81,247,2,24.0356083086053
"74","Arkansas_all_counties",2020-07-05,3017804,0.78911685450745,2.00476903072565,21.1875920371237,6394,23814,605,17133,407,287,1,17420,1.64753157290471,98.3524684270953,325,20,1575,39,19,5.08289020957147,75,245,5,23.0769230769231
"75","Arkansas_all_counties",2020-07-04,3017804,0.769069164200193,1.94512300997679,20.5347994767056,6197,23209,587,16726,562,286,5,17012,1.6811662355984,98.3188337644016,305,24,1536,0,-24,4.92173632402776,69,240,0,22.6229508196721
"76","Arkansas_all_counties",2020-07-03,3017804,0.749617934100425,1.81257629720154,20.468526120318,6177,22622,547,16164,466,281,2,16445,1.70872605655214,98.2912739434478,281,9,1536,19,10,4.54913388376234,70,240,4,24.9110320284698
"77","Arkansas_all_counties",2020-07-02,3017804,0.73149217112841,2.90940034541673,20.2067463625868,6098,22075,878,15698,535,279,2,15977,1.74626024910809,98.2537397508919,272,-3,1517,40,43,4.46047884552312,69,236,5,25.3676470588235
"78","Arkansas_all_counties",2020-07-01,3017804,0.702398167674243,1.39174048414012,19.0767856361778,5757,21197,420,15163,632,277,7,15440,1.7940414507772,98.2059585492228,275,-15,1477,29,44,4.77679346882057,72,231,7,26.1818181818182
"79","Arkansas_all_counties",2020-06-30,3017804,0.688480762832841,1.72310726607825,19.8024788886223,5976,20777,520,14531,465,270,5,14801,1.82420106749544,98.1757989325046,290,-10,1448,35,45,4.85274431057564,67,224,4,23.1034482758621
"80","Arkansas_all_counties",2020-06-29,3017804,0.671249690172059,1.45470017270837,19.6367954976533,5926,20257,439,14066,430,265,1,14331,1.84913823180518,98.1508617681948,300,17,1413,33,16,5.06243671954101,63,220,9,21
