"","County","Date","Population","Cases_Population","New_Cases_Today_10k_Pop","Active_Cases_10k_Pop","Current_Infections","Positive","New_Cases_Today","Recovered","Recovered_Since_Yesterday","Total_Deaths","New_Deaths_Today","Closed","Pct_Deaths_vs_Recoveries","Pct_Recoveries_vs_Deaths","Hospitalized","Hosp_Change_from_Yesterday","Ever_Hospitalized","New_Admits","New_Discharges_Deaths","Pct_Hospitalized","Vent","Ever_on_a_Vent","New_on_Vent","Pct_Vent","Negative","Number_Tested","New_Tests_Dashboard","Tested_Population","Pct_Positive_Cumulative","Pct_Positive_New_to_Dashboard"
"63","Arkansas_all_counties",2020-07-12,3017804,0.939988150323878,1.66677491314877,21.3897257741059,6455,28367,503,21591,401,321,2,21912,1.46495071193866,98.5350492880613,420,8,1836,14,6,6.50658404337723,82,269,3,19.5238095238095,354035,382402,5837,12.6715320146703,7.41810973791978,8.6174404659928
"64","Arkansas_all_counties",2020-07-11,3017804,0.92332040119239,3.5158015563635,21.0583589921678,6355,27864,1061,21190,548,319,6,21509,1.48310009763355,98.5168999023664,412,10,1822,42,32,6.48308418568057,84,266,1,20.3883495145631,348701,376565,6916,12.478113224053,7.39951933929069,15.3412377096588
"65","Arkansas_all_counties",2020-07-10,3017804,0.888162385628755,2.48856453235532,19.3783294077415,5848,26803,751,20642,650,313,4,20955,1.49367692674779,98.5063230732522,402,8,1780,37,29,6.87414500683995,84,265,5,20.8955223880597,342846,369649,4988,12.2489399576646,7.25093264150586,15.056134723336
"66","Arkansas_all_counties",2020-07-09,3017804,0.863276740305202,2.67081626242128,19.0569036292615,5751,26052,806,19992,596,309,4,20301,1.52209250775824,98.4779074922418,394,36,1743,38,2,6.8509824378369,82,260,6,20.8121827411168,338609,364661,5744,12.0836542068338,7.14416951634532,14.0320334261838
"67","Arkansas_all_counties",2020-07-08,3017804,0.836568577680989,2.43223217942583,18.374288058469,5545,25246,734,19396,671,305,4,19701,1.54814476422517,98.4518552357748,358,-11,1705,50,61,6.45626690712354,79,254,0,22.0670391061453,333671,358917,5645,11.8933171272886,7.03393820855518,13.0026572187777
"68","Arkansas_all_counties",2020-07-07,3017804,0.812246255886731,0.858239965219743,18.1787816571255,5486,24512,259,18725,891,301,9,19026,1.58204562178072,98.4179543782193,369,32,1655,51,19,6.72621217644914,83,254,7,22.4932249322493,328760,353272,2876,11.7062605788845,6.93856292035599,9.00556328233658
"69","Arkansas_all_counties",2020-07-06,3017804,0.803663856234533,1.45470017270837,20.3028427293489,6127,24253,439,17834,701,292,5,18126,1.61094560300121,98.3890543969988,337,12,1604,29,17,5.50024481801861,81,247,2,24.0356083086053,326143,350396,5867,11.6109594923991,6.92159727850775,7.48252940173854
"70","Arkansas_all_counties",2020-07-05,3017804,0.78911685450745,2.00476903072565,21.1875920371237,6394,23814,605,17133,407,287,1,17420,1.64753157290471,98.3524684270953,325,20,1575,39,19,5.08289020957147,75,245,5,23.0769230769231,320715,344529,5636,11.416546601436,6.91204513988663,10.7345635202271
"71","Arkansas_all_counties",2020-07-04,3017804,0.769069164200193,1.94512300997679,20.5347994767056,6197,23209,587,16726,562,286,5,17012,1.6811662355984,98.3188337644016,305,24,1536,0,-24,4.92173632402776,69,240,0,22.6229508196721,315684,338893,7656,11.2297882831357,6.84847429719705,7.66718913270637
"72","Arkansas_all_counties",2020-07-03,3017804,0.749617934100425,1.81257629720154,20.468526120318,6177,22622,547,16164,466,281,2,16445,1.70872605655214,98.2912739434478,281,9,1536,19,10,4.54913388376234,70,240,4,24.9110320284698,308615,331237,7250,10.9760938748839,6.82955104653164,7.5448275862069
"73","Arkansas_all_counties",2020-07-02,3017804,0.73149217112841,2.90940034541673,20.2067463625868,6098,22075,878,15698,535,279,2,15977,1.74626024910809,98.2537397508919,272,-3,1517,40,43,4.46047884552312,69,236,5,25.3676470588235,301912,323987,9129,10.7358529579787,6.81354498791618,9.61770182933509
"74","Arkansas_all_counties",2020-07-01,3017804,0.702398167674243,1.39174048414012,19.0767856361778,5757,21197,420,15163,632,277,7,15440,1.7940414507772,98.2059585492228,275,-15,1477,29,44,4.77679346882057,72,231,7,26.1818181818182,293661,314858,3655,10.4333482227474,6.73224120079528,11.4911080711354
"75","Arkansas_all_counties",2020-06-30,3017804,0.688480762832841,1.72310726607825,19.8024788886223,5976,20777,520,14531,465,270,5,14801,1.82420106749544,98.1757989325046,290,-10,1448,35,45,4.85274431057564,67,224,4,23.1034482758621,290426,311203,8667,10.312233663949,6.67634952105217,5.99976923964463
"76","Arkansas_all_counties",2020-06-29,3017804,0.671249690172059,1.45470017270837,19.6367954976533,5926,20257,439,14066,430,265,1,14331,1.84913823180518,98.1508617681948,300,17,1413,33,16,5.06243671954101,63,220,9,21,282279,302536,5432,10.0250380740432,6.6957320781659,8.08173784977909
"77","Arkansas_all_counties",2020-06-28,3017804,0.656702688444975,1.68334325224567,19.6102861550982,5918,19818,508,13636,366,264,5,13900,1.89928057553957,98.1007194244604,283,5,1380,7,2,4.78202095302467,66,211,1,23.321554770318,277286,297104,5882,9.84503963809446,6.67039151273628,8.63651819109147
"78","Arkansas_all_counties",2020-06-27,3017804,0.639869255922519,1.88879065704731,19.156313663843,5781,19310,570,13270,486,259,10,13529,1.91440609062015,98.0855939093799,278,-6,1373,36,42,4.80885659920429,63,210,2,22.6618705035971,271912,291222,8257,9.65012969695845,6.63068037442226,6.90323361995882
"79","Arkansas_all_counties",2020-06-26,3017804,0.620981349352045,2.24666678154048,18.9111022452088,5707,18740,678,12784,657,249,7,13033,1.91053479628635,98.0894652037137,284,0,1337,37,37,4.97634483967058,63,208,5,22.1830985915493,264225,282965,5585,9.37652014511214,6.62272719240895,12.1396598030439
"80","Arkansas_all_counties",2020-06-25,3017804,0.598514681536641,2.27648979191492,18.8647108957374,5693,18062,687,12127,559,242,2,12369,1.95650416363489,98.0434958363651,284,17,1300,55,38,4.98858246969963,66,203,9,23.2394366197183,259318,277380,7399,9.1914517973997,6.51164467517485,9.28503851871874
"81","Arkansas_all_counties",2020-06-24,3017804,0.575749783617491,2.30962647010873,18.4471887504954,5567,17375,697,11568,348,240,3,11808,2.03252032520325,97.9674796747967,267,19,1245,31,12,4.7961199928148,58,194,5,21.7228464419476,252606,269981,5489,8.94627351544368,6.43563806341928,12.6981235197668
"82","Arkansas_all_counties",2020-06-23,3017804,0.552653518916404,1.97163235253184,17.3006596849895,5221,16678,595,11220,427,237,10,11457,2.06860434668761,97.9313956533124,248,11,1214,26,15,4.75004788354721,57,189,3,22.9838709677419,247814,264492,8153,8.76438628883784,6.30567276136896,7.2979271433828
"83","Arkansas_all_counties",2020-06-22,3017804,0.532937195391086,1.72973460171701,16.7771001695272,5063,16083,522,10793,337,227,2,11020,2.05989110707804,97.940108892922,237,-7,1188,24,31,4.68101915860162,61,186,0,25.7383966244726,240256,256339,8159,8.49422295152369,6.27411357616282,6.39784287290109
"84","Arkansas_all_counties",2020-06-21,3017804,0.515639849373916,1.38842681632074,16.1706989585805,4880,15561,419,10456,374,225,1,10681,2.10654433105514,97.8934556689449,244,4,1164,12,8,5,62,186,NA,25.4098360655738,232619,248180,5946,8.22386079414037,6.27004593440245,7.04675412041709
"85","Arkansas_all_counties",2020-06-20,3017804,0.501755581210708,1.69328425570382,16.0248975745277,4836,15142,511,10082,370,224,10,10306,2.17349117019212,97.8265088298079,240,9,1152,19,10,4.96277915632754,59,NA,NA,24.5833333333333,227092,242234,7462,8.02683010559997,6.25098045691356,6.84803001876173
"86","Arkansas_all_counties",2020-06-19,3017804,0.48482273865367,2.32950847702502,15.5908070901888,4705,14631,703,9712,336,214,6,9926,2.15595406004433,97.8440459399557,231,5,1133,33,28,4.90967056323061,57,NA,NA,24.6753246753247,220141,234772,6338,7.77956421291774,6.23200381646874,11.091827074787
