"","county_nam","fhwa_numbe","FIPS","positive","negative","pending","lab_prvt","lab_pub","Recoveries","deaths","total_tests","lcase_name","pos_range","neg_range","border_report","active_cases","POP_5YR_EST_2018","confirmed_pos","probable_pos","confirmed_neg","probable_neg","confirmed_recov","probable_recov","confirmed_death","probable_death","confirmed_active","probable_active","pcr_test","antigen_test","pcr_pos_test","pcr_neg_test","antigen_pos_test","antigen_neg_test","total_pos_test","total_neg_test","Shape__Area","Shape__Length","mydate"
"92","Baxter",5,5,212,3343,0,2038,1517,162,1,3557,"baxter",212,3343,"https://bit.ly/2T74BCM",49,"41219",192,20,3336,7,145,17,1,0,46,3,3528,29,192,3336,22,7,214,3343,1518457528.31995,214376.071685134,2020-09-14
"93","Marion",89,89,62,1928,0,1525,465,49,0,1991,"marion",62,1928,"https://bit.ly/2T74BCM",13,"16438",59,3,1924,4,49,0,0,0,10,3,1983,8,59,1924,4,4,63,1928,1657005316.82642,213041.318466841,2020-09-14
"94","Perry",105,105,73,2410,0,2116,367,68,0,2483,"perry",73,2410,"Not Applicable",5,"10322",69,4,2357,53,64,4,0,0,5,0,2426,57,69,2357,4,53,73,2410,1450824197.89246,235691.992000723,2020-09-14
"95","Jefferson",69,69,2555,24121,0,16396,10280,2155,55,26684,"jefferson",2555,24121,"Not Applicable",345,"70424",2534,21,23987,134,2138,17,55,0,341,4,26521,163,2534,23987,29,134,2563,24121,2370994330.72839,284256.349610199,2020-09-14
"96","Washington",143,143,8244,64889,0,59029,14104,7407,89,73205,"washington",8244,64889,"https://bit.ly/2T74BCM",748,"228529",8061,183,64421,468,7310,97,89,0,662,86,72482,723,8061,64421,255,468,8316,64889,2465023834.31018,227692.739748244,2020-09-14
"97","Crawford",33,33,1108,15701,0,14752,2057,977,11,16813,"crawford",1108,15701,"https://bit.ly/2T74BCM",120,"62472",1096,12,15694,7,968,9,11,0,117,3,16790,23,1096,15694,16,7,1112,15701,1565525966.073,218076.568568796,2020-09-14
"98","Little River",81,81,323,1556,0,1531,348,293,18,1877,"little river",323,1556,"https://bit.ly/2T74BCM",12,"12417",318,5,1549,7,288,5,18,0,12,0,1867,10,318,1549,3,7,321,1556,1458314113.76514,321191.714116766,2020-09-14
"99","Miller",91,91,722,5850,0,4372,2200,648,10,6574,"miller",722,5850,"https://bit.ly/2T74BCM",64,"43759",705,17,5821,29,631,17,10,0,64,0,6526,48,705,5821,19,29,724,5850,1651886723.96448,278617.022939423,2020-09-14
"100","Lafayette",73,73,80,833,0,707,206,75,2,914,"lafayette",80,833,"https://bit.ly/2T74BCM",3,"6915",80,0,832,1,75,0,2,0,3,0,912,2,80,832,1,1,81,833,1413353782.99597,240091.990364965,2020-09-14
"101","Columbia",27,27,345,3865,0,2724,1486,297,18,4218,"columbia",345,3865,"https://bit.ly/2T74BCM",30,"23892",339,6,3851,14,292,5,18,0,29,1,4190,28,339,3851,14,14,353,3865,1984584461.05408,189842.983515113,2020-09-14
"102","Union",139,139,801,7643,0,6298,2146,717,25,8448,"union",801,7643,"https://bit.ly/2T74BCM",58,"39732",795,6,7613,30,716,1,25,0,53,5,8408,40,795,7613,10,30,805,7643,2731252909.41418,302655.931877982,2020-09-14
"103","Ashley",3,3,403,4398,0,4169,632,384,8,4802,"ashley",403,4398,"https://bit.ly/2T74BCM",11,"20537",403,0,4381,17,384,0,8,0,11,0,4784,18,403,4381,1,17,404,4398,2434449438.77856,238029.518397571,2020-09-14
"104","Chicot",17,17,976,4419,0,3467,1928,950,16,5395,"chicot",976,4419,"https://bit.ly/2T74BCM",10,"10826",975,1,4408,11,949,1,16,0,10,0,5383,12,975,4408,1,11,976,4419,1788307859.28882,280731.906180036,2020-09-14
