"","Date","County_Name","Total_Positives","Total_Deaths","New_Deaths_7_Day_Avg","New_Deaths_Today","Cases_Per_Death","Clean_New_Deaths_Today"
"176",2020-09-30,"Arkansas_all_counties",83697,1369,20,19,61.1373265157049,19
"177",2020-10-01,"Arkansas_all_counties",84821,1384,19.7,15,61.2868497109827,15
"178",2020-10-02,"Arkansas_all_counties",85779,1391,17.9,7,61.667145938174,7
"179",2020-10-03,"Arkansas_all_counties",86525,1407,17.4,16,61.4960909737029,16
"180",2020-10-04,"Arkansas_all_counties",87013,1425,16.7,18,61.0617543859649,18
"181",2020-10-05,"Arkansas_all_counties",87430,1447,16.9,22,60.4215618521078,22
"182",2020-10-06,"Arkansas_all_counties",88071,1469,17,22,59.9530292716133,22
"183",2020-10-07,"Arkansas_all_counties",88880,1482,16.1,13,59.9730094466937,13
"184",2020-10-08,"Arkansas_all_counties",90145,1503,17,21,59.9767132401863,21
"185",2020-10-09,"Arkansas_all_counties",91312,1530,19.9,27,59.681045751634,27
"186",2020-10-10,"Arkansas_all_counties",92220,1552,20.7,22,59.4201030927835,22
"187",2020-10-11,"Arkansas_all_counties",92833,1569,20.6,17,59.1669853409815,17
"188",2020-10-12,"Arkansas_all_counties",93487,1586,19.9,17,58.9451450189155,17
"189",2020-10-13,"Arkansas_all_counties",94167,1611,20.3,25,58.4525139664804,25
"190",2020-10-14,"Arkansas_all_counties",95246,1634,21.7,23,58.2900856793146,23
"191",2020-10-15,"Arkansas_all_counties",96524,1645,20.3,11,58.6772036474164,11
"192",2020-10-16,"Arkansas_all_counties",97539,1665,19.3,20,58.581981981982,20
"193",2020-10-17,"Arkansas_all_counties",98422,1684,18.9,19,58.4453681710214,19
"194",2020-10-18,"Arkansas_all_counties",99066,1704,19.3,20,58.137323943662,20
"195",2020-10-19,"Arkansas_all_counties",99597,1714,18.3,10,58.107934655776,10
"196",2020-10-20,"Arkansas_all_counties",100441,1728,16.7,14,58.1255787037037,14
"197",2020-10-21,"Arkansas_all_counties",101596,1751,16.7,23,58.0217018846374,23
"198",2020-10-22,"Arkansas_all_counties",102798,1772,18.1,21,58.0124153498871,21
"199",2020-10-23,"Arkansas_all_counties",104135,1782,16.7,10,58.4371492704826,10
"200",2020-10-24,"Arkansas_all_counties",105318,1797,16.1,15,58.6076794657763,15
"201",2020-10-25,"Arkansas_all_counties",106115,1812,15.4,15,58.5623620309051,15
"202",2020-10-26,"Arkansas_all_counties",106727,1833,17,21,58.2253136933988,21
"203",2020-10-27,"Arkansas_all_counties",107679,1857,18.4,24,57.9854604200323,24
"204",2020-10-28,"Arkansas_all_counties",108640,1875,17.7,18,57.9413333333333,18
"205",2020-10-29,"Arkansas_all_counties",109712,1894,17.4,19,57.9260823653643,19
"206",2020-10-30,"Arkansas_all_counties",110874,1900,16.9,6,58.3547368421053,6
"207",2020-10-31,"Arkansas_all_counties",112190,1925,18.3,25,58.2805194805195,25
"208",2020-11-01,"Arkansas_all_counties",113057,1958,20.9,33,57.741062308478,33
"209",2020-11-02,"Arkansas_all_counties",113641,1985,21.7,27,57.2498740554156,27
"210",2020-11-03,"Arkansas_all_counties",114519,2003,20.9,18,57.1737393909136,18
"211",2020-11-04,"Arkansas_all_counties",115812,2026,21.6,23,57.1628825271471,23
"212",2020-11-05,"Arkansas_all_counties",117360,2037,20.4,11,57.6141384388807,11
"213",2020-11-06,"Arkansas_all_counties",119230,2056,22.3,19,57.9912451361868,19
"214",2020-11-07,"Arkansas_all_counties",120828,2068,20.4,12,58.4274661508704,12
"215",2020-11-08,"Arkansas_all_counties",121866,2085,18.1,17,58.4489208633094,17
"216",2020-11-09,"Arkansas_all_counties",122811,2108,17.6,23,58.2594876660342,23
"217",2020-11-10,"Arkansas_all_counties",124235,2112,15.6,4,58.8233901515151,4
"218",2020-11-11,"Arkansas_all_counties",126197,2126,14.3,14,59.3588899341486,14
"219",2020-11-12,"Arkansas_all_counties",128006,2144,15.3,18,59.7042910447761,18
"220",2020-11-13,"Arkansas_all_counties",130318,2148,13.1,4,60.6694599627561,4
"221",2020-11-14,"Arkansas_all_counties",132166,2159,13,11,61.2163038443724,11
"222",2020-11-15,"Arkansas_all_counties",133040,2183,14,24,60.9436555199267,24
"223",2020-11-16,"Arkansas_all_counties",134348,2225,16.7,42,60.3811235955056,42
