"","County_Name","Date","Active_Cases_Total","Total_Positives","Total_Deaths","Pct_Positive_Cumulative","New_Cases_Today","Active_Cases_10k_Pop"
"344","Johnson",2020-09-05,16,777,4,11.94,2,6.09
"345","Lafayette",2020-09-05,4,74,2,8.43,0,5.78
"346","Lawrence",2020-09-05,21,263,11,8.25,1,12.6
"347","Lee",2020-09-05,16,1010,11,23.31,1,17.02
"348","Lincoln",2020-09-05,361,1754,13,23.81,17,263.6
"349","LittleRiver",2020-09-05,23,300,15,16.94,1,18.52
"350","Logan",2020-09-05,13,367,1,6.35,0,5.98
"351","Lonoke",2020-09-05,89,767,5,5.54,5,12.33
"352","Madison",2020-09-05,10,308,2,8.2,0,6.22
"353","Marion",2020-09-05,9,51,0,2.85,0,5.48
"354","Miller",2020-09-05,47,646,10,10.87,4,10.74
"355","MissingCountyInfo",2020-09-05,275,1214,0,4.87,-16,NA
"356","Mississippi",2020-09-05,90,1405,32,12.69,4,21.01
"357","Monroe",2020-09-05,10,100,0,5.16,3,13.8
"358","Montgomery",2020-09-05,44,118,4,7.78,0,48.93
"359","Nevada",2020-09-05,6,165,12,6.86,0,7.11
"360","Newton",2020-09-05,25,138,15,9.6,2,31.86
"361","Ouachita",2020-09-05,35,175,5,3.89,0,14.52
"362","Perry",2020-09-05,4,63,0,2.84,1,3.88
"363","Phillips",2020-09-05,17,414,10,7.43,0,8.93
"364","Pike",2020-09-05,7,183,1,9.21,1,6.48
"365","Poinsett",2020-09-05,73,511,6,8.02,2,30.35
"366","Polk",2020-09-05,16,234,4,6.81,2,7.94
"367","Pope",2020-09-05,122,1832,20,9.89,13,19.17
"368","Prairie",2020-09-05,5,121,1,7.02,1,6.07
"369","Pulaski",2020-09-05,722,7441,113,7.06,74,18.35
"370","Randolph",2020-09-05,8,319,17,7.9,2,4.54
"371","Saline",2020-09-05,223,1676,14,7.47,10,18.9
"372","Scott",2020-09-05,1,89,0,5.7,0,0.96
"373","Searcy",2020-09-05,33,114,0,6.84,1,41.65
"374","Sebastian",2020-09-05,210,2983,35,8.31,16,16.48
"375","Sevier",2020-09-05,10,1167,14,17.05,3,5.82
"376","Sharp",2020-09-05,8,154,5,5,1,4.69
"377","St.Francis",2020-09-05,77,1364,4,12.06,2,29.28
"378","Stone",2020-09-05,56,231,4,8.42,19,44.99
"379","Union",2020-09-05,57,724,21,9.1,3,14.35
"380","VanBuren",2020-09-05,29,140,2,4.64,2,17.38
"381","Washington",2020-09-05,730,7577,78,11.04,148,31.94
"382","White",2020-09-05,73,564,12,5.2,0,9.26
"383","Woodruff",2020-09-05,1,28,0,2.03,0,1.5
"384","Yell",2020-09-05,28,1177,25,13.15,4,12.87
"385","Arkansas_all_counties",2020-09-06,6188,65924,894,8.47,698,20.5
"386","Arkansas_county",2020-09-06,27,298,4,6.66,4,14.9
"387","Ashley",2020-09-06,8,390,7,8.58,1,3.9
"388","Baxter",2020-09-06,22,149,1,5.01,2,5.34
"389","Benton",2020-09-06,342,5632,59,8.54,33,13.21
"390","Boone",2020-09-06,114,408,4,5.7,15,30.57
"391","Bradley",2020-09-06,26,311,6,9.17,8,23.75
"392","Calhoun",2020-09-06,1,24,0,1.85,1,1.92
"393","Carroll",2020-09-06,51,501,8,7.91,15,18.29
"394","Chicot",2020-09-06,24,969,11,18.36,0,22.17
"395","Clark",2020-09-06,39,263,4,5.17,8,17.42
"396","Clay",2020-09-06,37,209,5,6.23,6,24.57
