"","Date","Cases_Male","Cases_Female","Cases_Gender_Unknown","New_Cases_Male","New_Cases_Female","New_Cases_Gender_Unknown"
"263",2020-08-14,27259,25053,74,372,251,-6
"264",2020-08-13,26887,24802,80,299,354,3
"265",2020-08-12,26588,24448,77,306,402,-1
"266",2020-08-11,26282,24046,78,205,209,-5
"267",2020-08-10,26077,23837,83,308,330,-31
"268",2020-08-09,25769,23507,114,304,261,7
"269",2020-08-08,25465,23246,107,394,399,7
"270",2020-08-07,25071,22847,100,556,454,-21
"271",2020-08-06,24515,22393,121,321,417,1
"272",2020-08-05,24194,21976,120,496,403,-3
"273",2020-08-04,23698,21573,123,357,419,13
"274",2020-08-03,23341,21154,110,342,433,8
"275",2020-08-02,22999,20721,102,274,353,12
"276",2020-08-01,22725,20368,90,329,304,10
"277",2020-07-31,22396,20064,80,342,446,29
"278",2020-07-30,22054,19618,51,377,407,-36
"279",2020-07-29,21677,19211,87,461,339,7
"280",2020-07-28,21216,18872,80,352,226,-13
"281",2020-07-27,20864,18646,93,366,612,-26
"282",2020-07-26,20498,18034,119,298,337,NA
"283",2020-07-25,20200,17697,NA,353,369,NA
"284",2020-07-24,19847,17328,NA,494,472,NA
"285",2020-07-23,19353,16856,NA,474,538,NA
"286",2020-07-22,18879,16318,NA,269,330,NA
"287",2020-07-21,18610,15988,NA,365,428,NA
"288",2020-07-20,18245,15560,NA,293,371,NA
"289",2020-07-19,17952,15189,NA,301,366,NA
"290",2020-07-18,17651,14823,NA,376,387,NA
"291",2020-07-17,17275,14436,NA,316,340,NA
"292",2020-07-16,16959,14096,NA,452,445,NA
"293",2020-07-15,16507,13651,NA,339,259,NA
"294",2020-07-14,16168,13392,NA,443,430,NA
"295",2020-07-13,15725,12962,NA,265,302,NA
"296",2020-07-12,15460,12660,NA,271,235,NA
"297",2020-07-11,15189,12425,NA,664,373,NA
"298",2020-07-10,14525,12052,NA,423,325,NA
"299",2020-07-09,14102,11727,NA,409,373,NA
"300",2020-07-08,13693,11354,NA,399,352,NA
"301",2020-07-07,13294,11002,NA,181,173,NA
"302",2020-07-06,13113,10829,NA,211,248,NA
"303",2020-07-05,12902,10581,NA,297,270,NA
"304",2020-07-04,12605,10311,NA,298,267,NA
"305",2020-07-03,12307,10044,NA,274,270,NA
"306",2020-07-02,12033,9774,NA,508,373,NA
"307",2020-07-01,11525,9401,NA,287,222,NA
"308",2020-06-30,11238,9179,NA,285,260,NA
"309",2020-06-29,10953,8919,NA,225,213,NA
"310",2020-06-28,10728,8706,NA,215,252,NA
"311",2020-06-27,10513,8454,NA,267,315,NA
"312",2020-06-26,10246,8139,NA,354,366,NA
"313",2020-06-25,9892,7773,NA,216,236,NA
"314",2020-06-24,9676,7537,NA,409,244,NA
"315",2020-06-23,9267,7293,NA,380,192,NA
"316",2020-06-22,8887,7101,NA,295,225,NA
"317",2020-06-21,8592,6876,NA,204,218,NA
"318",2020-06-20,8388,6658,NA,266,248,NA
"319",2020-06-19,8122,6410,NA,367,311,NA
"320",2020-06-18,7755,6099,NA,226,103,NA
"321",2020-06-17,7529,5996,NA,233,182,NA
"322",2020-06-16,7296,5814,NA,140,126,NA
"323",2020-06-15,7156,5688,NA,198,288,NA
"324",2020-06-14,6958,5400,NA,228,100,NA
"325",2020-06-13,6730,5300,NA,330,204,NA
"326",2020-06-12,6400,5096,NA,452,268,NA
"327",2020-06-11,5948,4828,NA,209,242,NA
"328",2020-06-10,5739,4586,NA,141,138,NA
"329",2020-06-09,5598,4448,NA,194,142,NA
"330",2020-06-08,5404,4306,NA,153,158,NA
"331",2020-06-07,5251,4148,NA,165,158,NA
"332",2020-06-06,5086,3990,NA,214,232,NA
"333",2020-06-05,4872,3758,NA,124,104,NA
"334",2020-06-04,4748,3654,NA,266,204,NA
"335",2020-06-03,4482,3450,NA,27,150,NA
"336",2020-06-02,4455,3300,NA,163,230,NA
"337",2020-06-01,4292,3070,NA,67,67,NA
"338",2020-05-31,4225,3003,NA,110,126,NA
"339",2020-05-30,4115,2877,NA,209,262,NA
"340",2020-05-28,3906,2615,NA,NA,NA,NA
