"","County_Name","Date","Deaths","fhwa_numbe","fips","Positive","Negative","Recoveries","Total_Tests","Oran_case_ko_rej_active","pop_5yr_est_2018","pop_5yr_est_2018_2019","Confirmed_Positive","Probable_Positive","Confirmed_Negative","Probable_Negative","Confirmed_Recoveries","Probable_Recoveries","confirmed_death","probable_death","confirmed_active","probable_active","pcr_test","antigen_test","PCR_Positive_Test","PCR_Negative_Tests","antigen_pos_test","antigen_neg_test","Total_Positive_Test","Total_Negative_Test","Case_ko_rokaal_rainin","Recovered_Since_Yesterday","Armej_ro_rej_kab_mej_rainin","New_Tests_Dashboard","Cases_Population","Tested_Population","New_Cases_Today_10k_Pop","Keej_ko_rej_Active_iaan_10K_armej","Confirmed_Active_Cases_10k_Pop","Pct_Positive_Cumulative","Pct_Positive_New_to_Dashboard","Closed","Pct_Deaths_vs_Recoveries","Pct_Recoveries_vs_Deaths","lab_prvt","lab_pub"
"1:68","Sebastian",2021-11-21,391,NA,NA,22993,212230,22306,235963,286,127461,127461,16805,6188,NA,NA,16301,6013,330,61,172,114,191794,44169,16805,174989,6929,37240,23734,212229,12,23,0,116,18.04,184.55,0.94,22.44,13.4943237539326,9.77,10.34,22697,1.72,98.28,222126,13097
"1:69","Sevier",2021-11-21,60,NA,NA,4048,21815,3943,26050,44,17193,17193,2200,1848,NA,NA,2147,1796,41,19,11,33,17106,8944,2200,14906,2035,6909,4235,21815,3,4,0,26,23.54,150.43,1.74,25.59,6.39795265515035,15.65,11.54,4003,1.5,98.5,23538,2325
"1:70","Sharp",2021-11-21,70,NA,NA,3061,35312,2895,38603,92,17043,17043,1815,1246,NA,NA,1726,1170,44,26,42,50,23833,14770,1815,22018,1478,13292,3293,35310,5,6,0,32,17.96,225.15,2.93,53.98,24.6435486710086,7.98,15.62,2965,2.36,97.64,36375,1998
"1:71","Stone",2021-11-21,44,NA,NA,1875,20963,1742,22991,89,12446,12446,1145,730,NA,NA,1077,665,35,9,33,56,17131,5860,1145,15986,885,4975,2030,20961,4,5,0,21,15.07,183.5,3.21,71.51,26.514542825004,8.21,19.05,1786,2.46,97.54,18202,4636
"1:72","Union",2021-11-21,141,NA,NA,5911,42880,5705,48000,63,39732,39732,4122,1789,NA,NA,4008,1698,91,50,23,40,33979,14021,4122,29857,2132,11889,6254,41746,1,3,0,19,14.88,122.8,0.25,15.86,5.7887848585523,12.11,5.26,5846,2.41,97.59,42051,6740
"1:73","Van Buren",2021-11-21,44,NA,NA,2269,26632,2186,29107,39,16684,16684,1177,1092,NA,NA,1134,1052,32,12,11,28,18510,10597,1177,17333,1298,9299,2475,26632,1,3,0,14,13.6,173.23,0.6,23.38,6.59314313114361,7.85,7.14,2230,1.97,98.03,23720,5181
"1:74","Washington",2021-11-21,491,NA,NA,45409,378536,44476,426195,439,228529,228529,32611,12798,NA,NA,32041,12436,346,145,223,216,338716,87479,32611,306105,15050,72429,47661,378534,30,34,0,249,19.87,185.51,1.31,19.21,9.75806134013626,10.71,12.05,44967,1.09,98.91,391376,32569
"1:75","White",2021-11-21,204,NA,NA,13717,88203,13266,102695,241,78804,78804,8047,5670,NA,NA,7785,5482,148,56,109,132,73752,28943,8047,65705,6557,22386,14604,88091,6,17,0,81,17.41,129.33,0.76,30.58,13.8317851885691,13.46,7.41,13470,1.51,98.49,76848,25072
"1:76","Woodruff",2021-11-21,24,NA,NA,1132,14782,1095,16004,13,6660,6660,639,493,NA,NA,617,478,17,7,5,8,11769,4235,639,11130,589,3646,1228,14776,0,2,0,3,17,238.95,0,19.52,7.50750750750751,7.11,0,1119,2.14,97.86,14808,1106
"1:77","Yell",2021-11-21,81,NA,NA,4745,46871,4623,51827,40,21573,21573,3807,938,NA,NA,3719,904,57,24,31,9,43712,8115,3807,39905,1149,6966,4956,46871,1,0,0,13,22,239.26,0.46,18.54,14.3698141195012,9.19,7.69,4704,1.72,98.28,47747,3869
