"","County_Name","Date","Deaths","fhwa_numbe","fips","Positive","Negative","Recuperaciones","Total_Tests","Casos_Activos","pop_5yr_est_2018","pop_5yr_est_2018_2019","Confirmed_Positive","Probable_Positive","Confirmed_Negative","Probable_Negative","Confirmed_Recoveries","Probable_Recoveries","confirmed_death","probable_death","Confirmado_Activo","Probable_Activo","pcr_test","antigen_test","PCR_Positive_Test","PCR_Negative_Tests","antigen_pos_test","antigen_neg_test","Total_Positive_Test","Total_Negative_Test","Nuevos_Casos_Hoy","Recovered_Since_Yesterday","Nuevas_Muertes_Hoy","New_Tests_Dashboard","Cases_Population","Población_Probada","Nuevos_Casos_Hoy_por_cada_10k_Residentes","Casos_Activos_por_cada_10k_Residentes","Confirmed_Active_Cases_10k_Pop","Pct_Positive_Cumulative","Porcentaje_Positivo_de_Novedades_en_el_Tablero","Closed","Pct_Deaths_vs_Recoveries","Pct_Recoveries_vs_Deaths","lab_prvt","lab_pub"
"1:51","Montgomery",2021-08-16,33,NA,NA,887,9654,812,10568,42,8993,8993,639,248,NA,NA,587,225,22,11,30,12,5619,4949,639,4980,275,4674,914,9654,-1,6,0,14,9.86,117.21,-1.11,46.7,33.3592794395641,8.41,-7.14,845,3.91,96.09,8793,1748
"1:52","Nevada",2021-08-16,26,NA,NA,1020,16330,954,17381,40,8440,8440,806,214,NA,NA,750,204,24,2,32,8,15515,1866,806,14709,245,1621,1051,16330,2,1,0,25,12.09,205.57,2.37,47.39,37.914691943128,5.88,8,980,2.65,97.35,13385,3965
"1:53","Newton",2021-08-16,27,NA,NA,989,9319,916,10344,46,7848,7848,745,244,NA,NA,698,218,23,4,24,22,5752,4592,745,5007,280,4312,1025,9319,3,5,0,12,12.6,131.35,3.82,58.61,30.5810397553517,9.59,25,943,2.86,97.14,9010,1298
"1:54","Ouachita",2021-08-16,67,NA,NA,2922,22239,2713,25312,142,24106,24106,2458,464,NA,NA,2276,437,47,20,135,7,21917,3395,2458,19459,615,2780,3073,22239,8,16,0,35,12.12,104.38,3.32,58.91,56.0026549406787,11.61,22.86,2780,2.41,97.59,22548,2613
"1:55","Perry",2021-08-16,13,NA,NA,1229,14038,1120,15320,95,10322,10322,930,299,NA,NA,852,268,10,3,67,28,13569,1751,930,12639,352,1399,1282,14038,5,6,0,31,11.91,147.91,4.84,92.04,64.9099011819415,8.05,16.13,1133,1.15,98.85,9464,5803
"1:56","Phillips",2021-08-16,52,NA,NA,2430,22276,2179,24767,198,19034,19034,2219,211,NA,NA,1992,187,50,2,176,22,23209,1558,2219,20990,272,1286,2491,22276,7,33,0,86,12.77,129.8,3.68,104.02,92.4661132709888,9.84,8.14,2231,2.33,97.67,19739,4967
"1:57","Pike",2021-08-16,25,NA,NA,1262,10630,1169,11959,68,10808,10808,960,302,NA,NA,891,278,18,7,51,17,9786,2173,960,8826,369,1804,1329,10630,2,6,0,4,11.68,110.03,1.85,62.92,47.1872686898594,10.61,50,1194,2.09,97.91,10611,1281
"1:58","Poinsett",2021-08-16,87,NA,NA,3846,35245,3477,39225,282,24054,24054,3273,573,NA,NA,3013,464,69,18,191,91,35026,4199,3273,31753,707,3492,3980,35245,13,12,0,146,15.99,162.51,5.4,117.24,79.4046728194895,9.84,8.9,3564,2.44,97.56,35751,3340
"1:59","Polk",2021-08-16,77,NA,NA,2322,16141,2124,18565,120,20163,20163,1922,400,NA,NA,1762,362,59,18,100,20,15921,2644,1922,13999,502,2142,2424,16141,1,11,0,59,11.52,91.57,0.5,59.51,49.5957942766453,12.58,1.69,2201,3.5,96.5,14960,3503
"1:60","Pope",2021-08-16,121,NA,NA,9614,90786,8816,100665,675,63644,63644,7482,2132,NA,NA,6894,1922,104,17,482,193,91694,8971,7482,84212,2397,6574,9879,90786,34,52,0,144,15.11,157.75,5.34,106.06,75.7337690905663,9.58,23.61,8937,1.35,98.65,92407,7993
"1:61","Prairie",2021-08-16,26,NA,NA,1086,8881,995,10034,64,8244,8244,752,334,NA,NA,698,297,21,5,33,31,8321,1713,752,7569,401,1312,1153,8881,2,5,0,16,13.17,120.9,2.43,77.63,40.0291120815138,10.9,12.5,1021,2.55,97.45,8196,1771
"1:62","Pulaski",2021-08-16,763,NA,NA,51139,522112,47485,574937,2855,393463,393463,43417,7722,NA,NA,40355,7136,660,103,2372,483,508870,66067,43417,465453,9409,56658,52826,522111,140,271,3,1139,13,145.69,3.56,72.56,60.2852110617771,8.92,12.29,48248,1.58,98.42,464654,108597
"1:63","Randolph",2021-08-16,49,NA,NA,2467,27188,2325,29776,93,17603,17603,1847,620,NA,NA,1756,569,37,12,54,39,19810,9966,1847,17963,741,9225,2588,27188,1,10,0,70,14.01,168.47,0.57,52.83,30.676589217747,8.32,1.43,2374,2.06,97.94,25362,4293
"1:64","SaintFrancis",2021-08-16,47,NA,NA,4053,36395,3880,40515,126,NA,26294,3588,465,NA,NA,3469,411,40,7,79,47,38212,2303,3588,34624,538,1765,4126,36389,4,15,0,141,NA,NA,NA,NA,NA,10.02,2.84,3927,1.2,98.8,34682,5766
"1:65","Saline",2021-08-16,192,NA,NA,15848,143670,14735,160298,918,118009,118009,11449,4399,NA,NA,10692,4046,162,30,595,323,117243,43055,11449,105794,5188,37867,16637,143661,27,103,1,1109,13.43,135.17,2.29,77.79,50.4198832292452,9.93,2.43,14927,1.29,98.71,142151,17367
"1:66","Scott",2021-08-16,18,NA,NA,1132,14876,1078,16050,36,10442,10442,706,426,NA,NA,670,408,15,3,21,15,13194,2856,706,12488,468,2388,1174,14876,1,8,0,21,10.84,153.3,0.96,34.48,20.1110898295346,7.07,4.76,1096,1.64,98.36,13787,2221
