"","Date","Casos_0_10","Casos_11_17","Casos_18_24","Casos_25_34","Casos_35_44","Cases_45_54","Casos_45_54","Casos_65","Casos_Desconocidos","Muertes_0_10","Muertes_11_17","Muertes_18_24","Muertes_25_34","Muertes_35_44","Muertes_45_54","Muertes_55_64","Muertes_65","Muertes_Desconocidos","Casos_0_17","Casos_25_44","Casos_45_64","Muertes_0_17","Muertes_25_44","Muertes_45_64","Nuevos_Casos_0_10","Nuevos_Casos_11_17","Nuevos_Casos_18_24","Nuevos_Casos_25_34","Nuevos_Casos_35_44","Nuevos_Casos_45_54","Nuevos_Casos_55_64","Nuevos_Casos_65","Nuevas_Muertes_0_10","Nuevas_Muertes_11_17","Nuevas_Muertes_18_24","Nuevas_Muertes_25_34","Nuevas_Muertes_35_44","Nuevas_Muertes_45_54","Nuevas_Muertes_55_64","Nuevas_Muertes_65","Nuevos_Casos_0_17","Nuevos_Casos_25_44","Nuevos_Casos_45_64","Nuevas_Muertes_0_17","Nuevas_Muertes_25_44","Nuevas_Muertes_45_64"
"1:147",2021-01-05,13511,18891,31615,38949,36858,34245,29285,35534,0,0,0,5,31,68,180,442,3110,0,NA,NA,NA,NA,NA,NA,221,369,491,658,654,615,536,563,0,0,0,0,1,-1,2,34,NA,NA,NA,NA,NA,NA
"1:148",2021-01-04,13290,18522,31124,38291,36204,33630,28749,34971,0,0,0,5,31,67,181,440,3076,0,NA,NA,NA,NA,NA,NA,65,87,173,213,208,178,171,211,0,0,0,0,0,6,6,39,NA,NA,NA,NA,NA,NA
"1:149",2021-01-03,13225,18435,30951,38078,35996,33452,28578,34760,0,0,0,5,31,67,175,434,3037,0,NA,NA,NA,NA,NA,NA,95,139,234,324,333,288,304,316,0,0,0,0,0,0,4,16,NA,NA,NA,NA,NA,NA
"1:150",2021-01-02,13130,18296,30717,37754,35663,33164,28274,34444,0,0,0,5,31,67,175,430,3021,0,NA,NA,NA,NA,NA,NA,122,139,279,362,287,283,233,295,0,0,0,0,0,0,0,18,NA,NA,NA,NA,NA,NA
"1:151",2021-01-01,13008,18157,30438,37392,35376,32881,28041,34149,0,0,0,5,31,67,175,430,3003,0,NA,NA,NA,NA,NA,NA,205,288,548,702,670,625,563,703,0,0,0,0,0,0,5,30,NA,NA,NA,NA,NA,NA
"1:152",2020-12-31,12803,17869,29890,36690,34706,32256,27478,33446,0,0,0,5,31,67,175,425,2973,0,NA,NA,NA,NA,NA,NA,110,204,340,451,404,392,347,460,0,0,0,1,0,1,5,32,NA,NA,NA,NA,NA,NA
"1:153",2020-12-30,12693,17665,29550,36239,34302,31864,27131,32986,0,0,0,5,30,67,174,420,2941,0,NA,NA,NA,NA,NA,NA,134,208,410,491,550,459,403,529,0,0,0,1,1,0,4,28,NA,NA,NA,NA,NA,NA
"1:154",2020-12-29,12559,17457,29140,35748,33752,31405,26728,32457,0,0,0,5,29,66,174,416,2913,0,NA,NA,NA,NA,NA,NA,103,176,321,424,438,430,379,447,0,0,0,0,1,5,6,54,NA,NA,NA,NA,NA,NA
"1:155",2020-12-28,12456,17281,28819,35324,33314,30975,26349,32010,0,0,0,5,29,65,169,410,2859,0,NA,NA,NA,NA,NA,NA,154,108,166,250,268,247,193,265,0,0,0,0,0,0,2,53,NA,NA,NA,NA,NA,NA
"1:156",2020-12-27,12302,17173,28653,35074,33046,30728,26156,31745,0,0,0,5,29,65,169,408,2806,0,NA,NA,NA,NA,NA,NA,48,53,81,133,160,128,124,181,0,0,1,0,1,1,4,34,NA,NA,NA,NA,NA,NA
"1:157",2020-12-26,12254,17120,28572,34941,32886,30600,26032,31564,0,0,0,4,29,64,168,404,2772,0,NA,NA,NA,NA,NA,NA,30,36,71,117,122,110,88,128,0,0,0,0,0,1,0,2,NA,NA,NA,NA,NA,NA
"1:158",2020-12-25,12224,17084,28501,34824,32764,30490,25944,31436,0,0,0,4,29,64,167,404,2770,0,NA,NA,NA,NA,NA,NA,116,186,241,342,302,318,307,310,0,0,0,0,1,0,2,29,NA,NA,NA,NA,NA,NA
"1:159",2020-12-24,12108,16898,28260,34482,32462,30172,25637,31126,0,0,0,4,29,63,167,402,2741,0,NA,NA,NA,NA,NA,NA,152,245,350,519,490,480,475,493,0,0,0,0,0,2,1,27,NA,NA,NA,NA,NA,NA
"1:160",2020-12-23,11956,16653,27910,33963,31972,29692,25162,30633,0,0,0,4,29,63,165,401,2714,0,NA,NA,NA,NA,NA,NA,162,222,318,470,507,428,363,423,0,0,0,0,0,2,4,32,NA,NA,NA,NA,NA,NA
"1:161",2020-12-22,11794,16431,27592,33493,31465,29264,24799,30210,0,0,0,4,29,63,163,397,2682,0,NA,NA,NA,NA,NA,NA,108,136,167,310,329,313,244,334,0,0,0,0,1,2,4,36,NA,NA,NA,NA,NA,NA
"1:162",2020-12-21,11686,16295,27425,33183,31136,28951,24555,29876,0,0,0,4,29,62,161,393,2646,0,NA,NA,NA,NA,NA,NA,85,128,169,243,221,174,179,258,0,0,0,0,3,3,7,45,NA,NA,NA,NA,NA,NA
"1:163",2020-12-20,11601,16167,27256,32940,30915,28777,24376,29618,0,0,0,4,29,59,158,386,2601,0,NA,NA,NA,NA,NA,NA,109,135,193,216,237,195,197,254,0,0,0,1,1,0,4,40,NA,NA,NA,NA,NA,NA
"1:164",2020-12-19,11492,16032,27063,32724,30678,28582,24179,29364,0,0,0,4,28,58,158,382,2561,0,NA,NA,NA,NA,NA,NA,188,265,273,413,458,383,341,372,0,0,0,-1,0,1,4,48,NA,NA,NA,NA,NA,NA
