District LEA,District Description,2 or More Races Total,Asian Total,Black Total,Hispanic Total,Native American/Native Alaskan Total,Native Hawaiian/Pacific Islander Total,White Total,Student Total
1101000,CORNING SCHOOL DISTRICT,2,1,4,19,1,0,791,818
5707000,COSSATOT RIVER SCHOOL DISTRICT,41,0,3,253,27,3,579,906
302000,COTTER SCHOOL DISTRICT,4,2,0,17,4,4,712,743
2403000,COUNTY LINE SCHOOL DISTRICT,4,22,7,10,10,0,442,495
1901000,CROSS COUNTY SCHOOL DISTRICT,5,0,33,16,1,0,552,607
201000,CROSSETT SCHOOL DISTRICT,33,8,520,45,1,0,962,1569
2601000,CUTTER-MORNING STAR SCHOOL DISTRICT,47,6,15,75,9,0,482,634
7503000,DANVILLE SCHOOL DISTRICT,13,14,7,395,0,0,342,771
7504000,DARDANELLE SCHOOL DISTRICT,45,14,45,694,5,0,1272,2075
402000,DECATUR SCHOOL DISTRICT,9,31,7,203,16,17,254,537
5106000,DEER/MT. JUDEA SCHOOL DISTRICT,11,0,1,3,1,1,382,399
6701000,DEQUEEN SCHOOL DISTRICT,56,13,57,1408,30,84,647,2295
901000,DERMOTT SCHOOL DISTRICT,4,0,344,6,0,0,13,367
5901000,DES ARC SCHOOL DISTRICT,3,0,52,10,0,0,492,557
101000,DEWITT SCHOOL DISTRICT,43,2,134,54,1,2,918,1154
3102000,DIERKS SCHOOL DISTRICT,5,0,5,34,6,0,454,504
6094000,DIVISION OF YOUTH SERVICES SCHOOL SYSTEM,2,1,51,10,0,2,58,124
3502000,DOLLARWAY SCHOOL DISTRICT,2,1,836,18,3,9,38,907
5802000,DOVER SCHOOL DISTRICT,19,4,3,48,9,2,1139,1224
2202000,DREW CENTRAL SCHOOL DISTRICT,33,2,301,63,0,0,710,1109
2104000,DUMAS SCHOOL DISTRICT,12,3,742,128,2,0,197,1084
1802000,EARLE SCHOOL DISTRICT,6,1,412,4,0,0,7,430
5301000,EAST END SCHOOL DISTRICT,22,1,18,52,3,0,515,611
5608000,EAST POINSETT CO. SCHOOL DIST.,26,0,66,47,0,0,445,584
7001000,EL DORADO SCHOOL DISTRICT,143,55,1992,402,2,4,1523,4121
7201000,ELKINS SCHOOL DISTRICT,85,1,13,65,22,2,1081,1269
1408000,EMERSON-TAYLOR-BRADLEY SCHOOL DISTRICT,22,2,160,35,2,0,858,1079
4302000,ENGLAND SCHOOL DISTRICT,21,1,208,59,2,0,330,621
6047700,ESTEM PUBLIC CHARTER SCHOOL,197,35,1974,292,9,6,667,3180
802000,EUREKA SPRINGS SCHOOL DISTRICT,3,6,8,50,3,0,502,572
6055700,EXALT ACADEMY OF SOUTHWEST LITTLE ROCK,10,0,129,370,0,0,9,518
7202000,FARMINGTON SCHOOL DISTRICT,158,13,78,234,17,3,2069,2572
7203000,FAYETTEVILLE SCHOOL DISTRICT,787,299,981,1245,37,152,6650,10151
4501000,FLIPPIN SCHOOL DISTRICT,21,3,1,22,2,1,795,845
2002000,FORDYCE SCHOOL DISTRICT,11,0,429,29,0,0,279,748
4102000,FOREMAN SCHOOL DISTRICT,26,0,62,30,12,0,404,534
6201000,FORREST CITY SCHOOL DISTRICT,13,16,1918,37,2,2,119,2107
6601000,FORT SMITH SCHOOL DISTRICT,1290,737,1504,4703,124,17,5464,13839
4603000,FOUKE SCHOOL DISTRICT,22,1,6,15,11,0,1002,1057
2602000,FOUNTAIN LAKE SCHOOL DISTRICT,55,4,5,124,6,1,1121,1316
6061700,FRIENDSHIP ASPIRE ACADEMY LITTLE ROCK,0,0,173,35,0,0,2,210
